===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
17,000001.XSHE,17,2018-01-24 23:59:59.999989,1696.4,1745.0,1677.88,1694.08,2239355.0,0.0,000001.XSHE,17,2018-01-24 23:59:59.999989,1696.4,1745.0,1677.88,1694.08,2239355.0,0.0,RSIMACDMultiTF,17,736718.9999999999,Broker,17,1000000.0,1000000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,000001.XSHE,18,2018-01-25 23:59:59.999989,1672.1,1674.41,1620.02,1643.17,2048104.0,0.0,000001.XSHE,18,2018-01-25 23:59:59.999989,1672.1,1674.41,1620.02,1643.17,2048104.0,0.0,RSIMACDMultiTF,18,736719.9999999999,Broker,18,1000000.0,1000000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,000001.XSHE,19,2018-01-26 23:59:59.999989,1640.85,1659.37,1622.34,1625.81,1756878.0,0.0,000001.XSHE,19,2018-01-26 23:59:59.999989,1640.85,1659.37,1622.34,1625.81,1756878.0,0.0,RSIMACDMultiTF,19,736720.9999999999,Broker,19,1000000.0,1000000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,000001.XSHE,20,2018-01-29 23:59:59.999989,1625.81,1648.95,1573.74,1589.94,1806619.0,0.0,000001.XSHE,20,2018-01-29 23:59:59.999989,1625.81,1648.95,1573.74,1589.94,1806619.0,0.0,RSIMACDMultiTF,20,736723.9999999999,Broker,20,1000000.0,1000000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,000001.XSHE,21,2018-01-30 23:59:59.999989,1585.31,1601.51,1567.95,1579.52,946057.0,0.0,000001.XSHE,21,2018-01-30 23:59:59.999989,1585.31,1601.51,1567.95,1579.52,946057.0,0.0,RSIMACDMultiTF,21,736724.9999999999,Broker,21,1000000.0,1000000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,000001.XSHE,22,2018-01-31 23:59:59.999989,1573.74,1625.81,1565.64,1625.81,1510361.0,0.0,000001.XSHE,22,2018-01-31 23:59:59.999989,1573.74,1625.81,1565.64,1625.81,1510361.0,0.0,RSIMACDMultiTF,22,736725.9999999999,Broker,22,1000000.0,1000000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,000001.XSHE,23,2018-02-01 23:59:59.999989,1614.24,1654.74,1601.51,1623.5,1733222.0,0.0,000001.XSHE,23,2018-02-01 23:59:59.999989,1614.24,1654.74,1601.51,1623.5,1733222.0,0.0,RSIMACDMultiTF,23,736726.9999999999,Broker,23,1000000.0,1000000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,000001.XSHE,24,2018-02-02 23:59:59.999989,1609.61,1631.6,1577.21,1625.81,1016724.0,0.0,000001.XSHE,24,2018-02-02 23:59:59.999989,1609.61,1631.6,1577.21,1625.81,1016724.0,0.0,RSIMACDMultiTF,24,736727.9999999999,Broker,24,1000000.0,1000000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,000001.XSHE,25,2018-02-05 23:59:59.999989,1596.88,1685.98,1588.78,1683.67,2015277.0,0.0,000001.XSHE,25,2018-02-05 23:59:59.999989,1596.88,1685.98,1588.78,1683.67,2015277.0,0.0,RSIMACDMultiTF,25,736730.9999999999,Broker,25,1000000.0,1000000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,000001.XSHE,26,2018-02-06 23:59:59.999989,1646.64,1658.21,1611.92,1620.02,2232079.0,0.0,000001.XSHE,26,2018-02-06 23:59:59.999989,1646.64,1658.21,1611.92,1620.02,2232079.0,0.0,RSIMACDMultiTF,26,736731.9999999999,Broker,26,1000000.0,1000000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,000001.XSHE,27,2018-02-07 23:59:59.999989,1645.48,1654.74,1476.54,1495.05,2891318.0,0.0,000001.XSHE,27,2018-02-07 23:59:59.999989,1645.48,1654.74,1476.54,1495.05,2891318.0,0.0,RSIMACDMultiTF,27,736732.9999999999,Broker,27,1000000.0,1000000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,000001.XSHE,28,2018-02-08 23:59:59.999989,1484.64,1495.05,1449.92,1451.08,1847467.0,0.0,000001.XSHE,28,2018-02-08 23:59:59.999989,1484.64,1495.05,1449.92,1451.08,1847467.0,0.0,RSIMACDMultiTF,28,736733.9999999999,Broker,28,1000000.0,1000000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
