===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
11,000012.XSHE,11,2018-01-16 23:59:59.999989,213.1,218.52,212.36,217.54,959203.0,0.0,,0,,,,,,,,PivotMultiTF,11,736710.9999999999,LinesCoupler_6,11,,,,,,Broker,11,1000000.0,1000000.0,BuySell,11,,,BuySell,0,,,DataTrades,11,,
12,000012.XSHE,12,2018-01-17 23:59:59.999989,217.04,217.54,213.1,215.56,1109709.0,0.0,,0,,,,,,,,PivotMultiTF,12,736711.9999999999,LinesCoupler_6,12,,,,,,Broker,12,1000000.0,1000000.0,BuySell,12,,,BuySell,0,,,DataTrades,12,,
13,000012.XSHE,13,2018-01-18 23:59:59.999989,216.3,223.45,215.07,222.46,2118587.0,0.0,,0,,,,,,,,PivotMultiTF,13,736712.9999999999,LinesCoupler_6,13,,,,,,Broker,13,1000000.0,1000000.0,BuySell,13,,,BuySell,0,,,DataTrades,13,,
14,000012.XSHE,14,2018-01-19 23:59:59.999989,221.72,230.35,218.77,223.2,2263931.0,0.0,,0,,,,,,,,PivotMultiTF,14,736713.9999999999,LinesCoupler_6,14,,,,,,Broker,14,1000000.0,1000000.0,BuySell,14,,,BuySell,0,,,DataTrades,14,,
15,000012.XSHE,15,2018-01-22 23:59:59.999989,220.74,227.64,219.75,226.16,1406467.0,0.0,,0,,,,,,,,PivotMultiTF,15,736716.9999999999,LinesCoupler_6,15,,,,,,Broker,15,1000000.0,1000000.0,BuySell,15,,,BuySell,0,,,DataTrades,15,,
16,000012.XSHE,16,2018-01-23 23:59:59.999989,226.16,226.65,222.71,224.68,888491.0,0.0,,0,,,,,,,,PivotMultiTF,16,736717.9999999999,LinesCoupler_6,16,,,,,,Broker,16,1000000.0,1000000.0,BuySell,16,,,BuySell,0,,,DataTrades,16,,
17,000012.XSHE,17,2018-01-24 23:59:59.999989,223.45,224.68,220.25,224.19,1170521.0,0.0,,0,,,,,,,,PivotMultiTF,17,736718.9999999999,LinesCoupler_6,17,,,,,,Broker,17,1000000.0,1000000.0,BuySell,17,,,BuySell,0,,,DataTrades,17,,
18,000012.XSHE,18,2018-01-25 23:59:59.999989,224.19,224.19,220.98,221.23,833972.0,0.0,,0,,,,,,,,PivotMultiTF,18,736719.9999999999,LinesCoupler_6,18,,,,,,Broker,18,1000000.0,1000000.0,BuySell,18,,,BuySell,0,,,DataTrades,18,,
19,000012.XSHE,19,2018-01-26 23:59:59.999989,220.74,227.39,220.25,226.4,1574417.0,0.0,,0,,,,,,,,PivotMultiTF,19,736720.9999999999,LinesCoupler_6,19,,,,,,Broker,19,1000000.0,1000000.0,BuySell,19,,,BuySell,0,,,DataTrades,19,,
20,000012.XSHE,20,2018-01-29 23:59:59.999989,225.67,227.14,220.0,221.72,1252112.0,0.0,,0,,,,,,,,PivotMultiTF,20,736723.9999999999,LinesCoupler_6,20,,,,,,Broker,20,1000000.0,1000000.0,BuySell,20,,,BuySell,0,,,DataTrades,20,,
21,000012.XSHE,21,2018-01-30 23:59:59.999989,222.46,222.96,216.3,217.54,867399.0,0.0,,0,,,,,,,,PivotMultiTF,21,736724.9999999999,LinesCoupler_6,21,,,,,,Broker,21,1000000.0,1000000.0,BuySell,21,,,BuySell,0,,,DataTrades,21,,
